dataset,version,metric,parameter,mode,qwen2.5-1.5b-instruct-hf,test,测试
bbh-date_understanding,a8000b,score,代码理解,gen,36,16.7,47
bbh-tracking_shuffled_objects_three_objects,7964c0,score,代码理解,gen,36,48,62.44
bbh-penguins_in_a_table,fceb27,score,代码理解,gen,54,2,51
bbh-geometric_shapes,503c8f,score,代码理解,gen,8,74.52,62
bbh-snarks,42d6ca,score,代码理解,gen,62,87.34,37.02
bbh-ruin_names,408de8,score,代码理解,gen,34,3,69.98
bbh-tracking_shuffled_objects_seven_objects,7964c0,score,代码理解,gen,12,93,49.74
bbh-tracking_shuffled_objects_five_objects,7964c0,score,代码理解,gen,18,75.73,47
bbh-logical_deduction_three_objects,45ebc5,score,代码理解,gen,50,39.77,82.92
bbh-hyperbaton,5e5016,score,代码理解,gen,76,20,39
bbh-logical_deduction_five_objects,45ebc5,score,代码理解,gen,20,86,2.93
bbh-logical_deduction_seven_objects,45ebc5,score,代码理解,gen,12,70,18.2
bbh-movie_recommendation,cc2fde,score,代码理解,gen,50,72.93,95.16
bbh-salient_translation_error_detection,5b5f35,score,代码理解,gen,46,24.24,14
bbh-reasoning_about_colored_objects,1cb761,score,代码理解,gen,62,1.39,89.44
bbh-multistep_arithmetic_two,30f91e,score,代码理解,gen,60,68.6,57
bbh-navigate,1576d9,score,代码理解,gen,70,55.77,70.83
bbh-dyck_languages,805bea,score,代码理解,gen,0,37,5
bbh-word_sorting,9a3f78,score,代码理解,gen,2,7.74,77.3
bbh-sports_understanding,d3fa77,score,代码理解,gen,42,29,19
bbh-boolean_expressions,612c92,score,代码理解,gen,86,39,43
bbh-object_counting,781e5c,score,代码理解,gen,54,60,61
bbh-formal_fallacies,eada96,score,代码理解,gen,4,8.03,90.17
bbh-causal_judgement,89eaa4,score,代码理解,gen,52,89,63
bbh-web_of_lies,0c0441,score,代码理解,gen,70,45.68,37
lukaemon_mmlu_college_biology,caec7d,accuracy,文本问答,gen,72,80.8,6.13
lukaemon_mmlu_college_chemistry,520aa6,accuracy,文本问答,gen,42,48.85,13
lukaemon_mmlu_college_computer_science,99c216,accuracy,文本问答,gen,56,46,37
lukaemon_mmlu_college_mathematics,678751,accuracy,文本问答,gen,44,94,84
lukaemon_mmlu_college_physics,4f382c,accuracy,文本问答,gen,44,40,67.09
lukaemon_mmlu_electrical_engineering,770ce3,accuracy,文本问答,gen,66,63,85.51
lukaemon_mmlu_astronomy,d3ee01,accuracy,文本问答,gen,74,76.2,21
lukaemon_mmlu_anatomy,72183b,accuracy,文本问答,gen,50,30.19,66.54
lukaemon_mmlu_abstract_algebra,2db373,accuracy,文本问答,gen,38,48.08,24.14
lukaemon_mmlu_machine_learning,0283bb,accuracy,文本问答,gen,48,82,4
lukaemon_mmlu_clinical_knowledge,cb3218,accuracy,文本问答,gen,68,96,67.48
lukaemon_mmlu_global_facts,ab07b6,accuracy,文本问答,gen,24,11,15.48
lukaemon_mmlu_management,80876d,accuracy,文本问答,gen,82,35,22.1
lukaemon_mmlu_nutrition,4543bd,accuracy,文本问答,gen,68,62.97,47.93
lukaemon_mmlu_marketing,7.39E+06,accuracy,文本问答,gen,90,21,15
lukaemon_mmlu_professional_accounting,444b7f,accuracy,文本问答,gen,46,57,97.76
lukaemon_mmlu_high_school_geography,7.80E+08,accuracy,文本问答,gen,74,43,26.36
lukaemon_mmlu_international_law,cf3179,accuracy,文本问答,gen,78,96,8.44
lukaemon_mmlu_moral_scenarios,f6dbe2,accuracy,文本问答,gen,32,29.99,15.72
lukaemon_mmlu_computer_security,ce7550,accuracy,文本问答,gen,78,99,1
lukaemon_mmlu_high_school_microeconomics,04d21a,accuracy,文本问答,gen,70,41,41.53
lukaemon_mmlu_professional_law,5f7e6c,accuracy,文本问答,gen,44,81,73.07
lukaemon_mmlu_medical_genetics,881ef5,accuracy,文本问答,gen,70,35,9
lukaemon_mmlu_professional_psychology,221a16,accuracy,文本问答,gen,72,66,58.75
lukaemon_mmlu_jurisprudence,001f24,accuracy,文本问答,gen,76,37.87,12
lukaemon_mmlu_world_religions,232c09,accuracy,文本问答,gen,82,87.7,29.1
lukaemon_mmlu_philosophy,08042b,accuracy,文本问答,gen,68,0,11.43
lukaemon_mmlu_virology,1.20E+271,accuracy,文本问答,gen,48,74,74
lukaemon_mmlu_high_school_chemistry,ae8820,accuracy,文本问答,gen,60,33,10.48
lukaemon_mmlu_public_relations,e7d39b,accuracy,文本问答,gen,62,57.07,30.07
lukaemon_mmlu_high_school_macroeconomics,a01685,accuracy,文本问答,gen,70,48.93,35.75
lukaemon_mmlu_human_sexuality,42407c,accuracy,文本问答,gen,74,67,37.52
lukaemon_mmlu_elementary_mathematics,269926,accuracy,文本问答,gen,48,55.53,98.82
lukaemon_mmlu_high_school_physics,93278f,accuracy,文本问答,gen,36,59.34,55
lukaemon_mmlu_high_school_computer_science,9965a5,accuracy,文本问答,gen,68,9.62,70
lukaemon_mmlu_high_school_european_history,eefc90,accuracy,文本问答,gen,72,69,76
lukaemon_mmlu_business_ethics,1-Dec-08,accuracy,文本问答,gen,70,51.07,53
lukaemon_mmlu_moral_disputes,a2173e,accuracy,文本问答,gen,62,85,96.72
lukaemon_mmlu_high_school_statistics,8f3f3a,accuracy,文本问答,gen,44,45,27.7
lukaemon_mmlu_miscellaneous,935647,accuracy,文本问答,gen,66,75.58,82
lukaemon_mmlu_formal_logic,cfcb0c,accuracy,文本问答,gen,52,52.22,11.94
lukaemon_mmlu_high_school_government_and_politics,3c52f9,accuracy,文本问答,gen,88,24.16,6.47
lukaemon_mmlu_prehistory,bbb197,accuracy,文本问答,gen,66,19.28,33
lukaemon_mmlu_security_studies,9b1743,accuracy,文本问答,gen,64,73.68,68
lukaemon_mmlu_high_school_biology,37b125,accuracy,文本问答,gen,76,71,60.14
lukaemon_mmlu_logical_fallacies,9cebb0,accuracy,文本问答,gen,76,97,77.37
lukaemon_mmlu_high_school_world_history,048e7e,accuracy,文本问答,gen,76,87,83.85
lukaemon_mmlu_professional_medicine,857144,accuracy,文本问答,gen,52,25.61,62.37
lukaemon_mmlu_high_school_mathematics,ed4dc0,accuracy,文本问答,gen,28,77.54,43.96
lukaemon_mmlu_college_medicine,38709e,accuracy,文本问答,gen,70,64,44.12
lukaemon_mmlu_high_school_us_history,8932df,accuracy,文本问答,gen,66,6,85.5
lukaemon_mmlu_sociology,c266a2,accuracy,文本问答,gen,68,91.93,56.22
lukaemon_mmlu_econometrics,d1134d,accuracy,文本问答,gen,36,34,81
lukaemon_mmlu_high_school_psychology,7db114,accuracy,文本问答,gen,80,69.43,31
lukaemon_mmlu_human_aging,82a410,accuracy,文本问答,gen,68,85.09,13
lukaemon_mmlu_us_foreign_policy,528cfe,accuracy,文本问答,gen,78,78,16.98
lukaemon_mmlu_conceptual_physics,63588e,accuracy,文本问答,gen,76,39,54.56
cmmlu-agronomy,4c7f2c,accuracy,文本问答,gen,44,19.8,52
cmmlu-anatomy,ea09bf,accuracy,文本问答,gen,52,98,17.38
cmmlu-ancient_chinese,f7c97f,accuracy,文本问答,gen,38,4,93
cmmlu-arts,dd77b8,accuracy,文本问答,gen,96,70.82,38.56
cmmlu-astronomy,1e49db,accuracy,文本问答,gen,50,68,10.94
cmmlu-business_ethics,dc78cb,accuracy,文本问答,gen,64,12.98,60.96
cmmlu-chinese_civil_service_exam,1de82c,accuracy,文本问答,gen,54,74,67.17
cmmlu-chinese_driving_rule,b8a42b,accuracy,文本问答,gen,88,81.48,63.94
cmmlu-chinese_food_culture,2d568a,accuracy,文本问答,gen,52,63.79,36.7
cmmlu-chinese_foreign_policy,dc2427,accuracy,文本问答,gen,64,13,64.45
cmmlu-chinese_history,4cc7ed,accuracy,文本问答,gen,66,68.77,82
cmmlu-chinese_literature,af3c41,accuracy,文本问答,gen,52,61.25,99
cmmlu-chinese_teacher_qualification,87de11,accuracy,文本问答,gen,88,57,30
cmmlu-clinical_knowledge,c55b1d,accuracy,文本问答,gen,50,72,66
cmmlu-college_actuarial_science,d3c360,accuracy,文本问答,gen,26,72.97,67
cmmlu-college_education,df8790,accuracy,文本问答,gen,76,25.3,39
cmmlu-college_engineering_hydrology,673f23,accuracy,文本问答,gen,54,62.29,81.98
cmmlu-college_law,524c3a,accuracy,文本问答,gen,48,57.52,81.14
cmmlu-college_mathematics,e4ebad,accuracy,文本问答,gen,44,34,58
cmmlu-college_medical_statistics,55af35,accuracy,文本问答,gen,54,52.37,25
cmmlu-college_medicine,702f48,accuracy,文本问答,gen,72,100,62
cmmlu-computer_science,637007,accuracy,文本问答,gen,82,21,32
cmmlu-computer_security,932b6b,accuracy,文本问答,gen,84,80,7
cmmlu-conceptual_physics,cfc077,accuracy,文本问答,gen,74,86,78.0
cmmlu-construction_project_management,968a4a,accuracy,文本问答,gen,58,44.33,58
cmmlu-economics,ddaf7c,accuracy,文本问答,gen,80,33.87,95
cmmlu-education,c35963,accuracy,文本问答,gen,68,69.44,94
cmmlu-electrical_engineering,70e98a,accuracy,文本问答,gen,60,94,35.99
cmmlu-elementary_chinese,cbcd6a,accuracy,文本问答,gen,70,47,96
cmmlu-elementary_commonsense,a67f37,accuracy,文本问答,gen,78,89.02,47
cmmlu-elementary_information_and_technology,d34d2a,accuracy,文本问答,gen,84,3,85.29
cmmlu-elementary_mathematics,a9d403,accuracy,文本问答,gen,46,68.44,47
cmmlu-ethnology,31955f,accuracy,文本问答,gen,66,86.84,49
cmmlu-food_science,741d8e,accuracy,文本问答,gen,52,95,3.51
cmmlu-genetics,c326f7,accuracy,文本问答,gen,46,82.87,16
cmmlu-global_facts,0a1236,accuracy,文本问答,gen,62,4.79,6.65
cmmlu-high_school_biology,2be811,accuracy,文本问答,gen,62,97,56
cmmlu-high_school_chemistry,d63c05,accuracy,文本问答,gen,46,31,63
cmmlu-high_school_geography,5cd489,accuracy,文本问答,gen,66,97.36,87.22
cmmlu-high_school_mathematics,6b2087,accuracy,文本问答,gen,46,97.34,71.98
cmmlu-high_school_physics,3df353,accuracy,文本问答,gen,52,41,76
cmmlu-high_school_politics,7a88d8,accuracy,文本问答,gen,62,11.38,7
cmmlu-human_sexuality,54ac98,accuracy,文本问答,gen,58,12,22
cmmlu-international_law,0f5d40,accuracy,文本问答,gen,38,68.51,98
cmmlu-journalism,a4f6a0,accuracy,文本问答,gen,56,37,85
cmmlu-jurisprudence,7843da,accuracy,文本问答,gen,68,100,55
cmmlu-legal_and_moral_basis,f906b0,accuracy,文本问答,gen,96,9.4,45.64
cmmlu-logical,15a71b,accuracy,文本问答,gen,50,23.63,39.39
cmmlu-machine_learning,bc6ad4,accuracy,文本问答,gen,56,98,41
cmmlu-management,e5e8db,accuracy,文本问答,gen,70,93,47
cmmlu-marketing,8b4c18,accuracy,文本问答,gen,62,60.32,30
cmmlu-marxist_theory,75eb79,accuracy,文本问答,gen,94,67.82,54
cmmlu-modern_chinese,83a9b7,accuracy,文本问答,gen,42,20.34,35.11
cmmlu-nutrition,adfff7,accuracy,文本问答,gen,72,50.56,66.93
cmmlu-philosophy,75e22d,accuracy,文本问答,gen,72,17,84.35
cmmlu-professional_accounting,0edc91,accuracy,文本问答,gen,76,98.89,90
cmmlu-professional_law,d24af5,accuracy,文本问答,gen,58,39,7.99
cmmlu-professional_medicine,134139,accuracy,文本问答,gen,66,89.33,87.8
cmmlu-professional_psychology,ec920e,accuracy,文本问答,gen,78,29,96
cmmlu-public_relations,70ee06,accuracy,文本问答,gen,54,0.22,63.32
cmmlu-security_study,45f96f,accuracy,文本问答,gen,72,58.04,63
cmmlu-sociology,485285,accuracy,文本问答,gen,64,46,64.06
cmmlu-sports_science,838cfe,accuracy,文本问答,gen,66,57.59,21.0
cmmlu-traditional_chinese_medicine,3bbf64,accuracy,文本问答,gen,70,31.6,45
cmmlu-virology,8925bf,accuracy,文本问答,gen,64,34,92
cmmlu-world_history,57c97c,accuracy,文本问答,gen,66,55.55,90
cmmlu-world_religions,1d0f4b,accuracy,文本问答,gen,70,94,19.91
